symbol,strategy,trigger,regime,entry_date,entry_price,stop_loss,take_profit,trailing_stop,peak_price,rsi_at_entry,volume_ratio,confluence,macd_hist,sma50_dist,spy_rsi,holding_days,exit_date,exit_price,exit_reason,pnl_pct,peak_after_exit,missed_upside_pct,win
AAPL,momentum_breakout,breakout,uptrend,2024-06-11,205.19400024414065,199.53,229.82,212.32,230.7801055908203,72.6460436249377,2.9431632226550763,3,0.5088200199676916,12.827189607300774,0,29,2024-07-10,229.82,take_profit,12.0,232.60275268554688,1.21,1
AAPL,momentum_breakout,breakout,uptrend,2024-11-25,231.19223022460935,224.58,258.94,236.58,257.15380859375,57.12524452249756,1.9377687119719327,3,0.6747142622401132,2.1452434736454222,0,46,2025-01-10,236.58,trailing_stop,2.33,245.5894317626953,3.81,1
AAPL,momentum_breakout,breakout,uptrend,2025-06-30,204.18316650390625,199.63,228.69,210.5,228.80479431152344,50.990151322051524,1.6705202327897446,3,0.6964372855446019,1.1770926217597764,0,43,2025-08-12,228.69,take_profit,12.0,255.13751220703125,11.56,1
AAPL,momentum_breakout,breakout,uptrend,2025-09-19,244.59646606445312,234.89,273.95,252.54,274.5028076171875,66.67041556034147,2.9367520916839047,3,0.22299585281822498,8.827581801329194,0,53,2025-11-11,273.95,take_profit,12.0,285.4131164550781,4.18,1
AAPL,momentum_breakout,breakout,uptrend,2026-04-30,270.8666381835937,257.75,303.37,280.35,304.7271728515625,57.699783150302466,2.1175887695738145,3,0.4788819895591798,3.877877247216499,0,21,2026-05-21,303.37,take_profit,12.0,314.92840576171875,3.81,1
MSFT,momentum_breakout,breakout,uptrend,2024-01-31,389.26959228515625,361.78,435.98,387.48,421.1725463867188,69.24633350370317,1.9025436746347515,3,0.7400131353793347,4.297392373819596,0,90,2024-04-30,387.48,trailing_stop,-0.46,425.1849365234375,9.73,0
MSFT,momentum_breakout,breakout,uptrend,2024-06-21,441.9886474609375,420.31,495.03,422.7,459.4607238769531,67.16214250005639,1.7694897831634733,3,1.8999453332725116,6.825911387381309,0,33,2024-07-24,422.7,trailing_stop,-4.36,421.4703674316406,-0.29,0
MSFT,momentum_breakout,breakout,uptrend,2024-10-22,420.8616943359375,408.31,471.37,408.31,425.8036193847656,52.11824279538449,1.526083108053885,3,0.5764266590079663,1.7380016352935665,0,9,2024-10-31,408.31,stop_loss,-2.98,443.4546508789063,8.61,0
MSFT,trend_continuation,pullback_buy,uptrend,2024-11-12,416.4513244628906,401.72,466.43,412.43,448.2880554199219,49.92594416786328,0.9185034811022497,2,0.2642625238853329,0.38975861328330874,0,62,2025-01-13,412.43,trailing_stop,-0.97,441.126708984375,6.96,0
MSFT,trend_continuation,pullback_buy,uptrend,2025-01-27,428.6583557128906,409.75,480.1,409.75,441.126708984375,49.43939330926376,1.8791819650656172,2,2.1062022324511416,0.9000483188534537,0,3,2025-01-30,409.75,stop_loss,-4.41,411.3017272949219,0.38,0
MSFT,momentum_breakout,breakout,uptrend,2025-06-27,491.0855712890625,469.55,550.02,494.63,537.6464233398438,81.45391152093211,1.6945242638043883,3,0.37693741583512264,10.195630321158012,0,132,2025-11-06,494.63,trailing_stop,0.72,506.9688415527344,2.49,1
MSFT,momentum_breakout,breakout,uptrend,2026-04-30,406.1341552734375,356.93,454.87,422.88,459.6546936035156,51.442217698801954,2.0640140858291907,3,1.3314174712601208,2.940115886411113,0,32,2026-06-01,454.87,take_profit,12.0,459.6546936035156,1.05,1
MSFT,momentum_breakout,breakout,uptrend,2026-08-03,486.7337036132813,443.18,545.14,472.45,513.530029296875,73.04455392332557,1.7627866996171024,3,10.393387599094783,17.822862835900544,0,25,2026-08-28,513.53,bearish_divergence,5.51,513.530029296875,0.0,1
GOOGL,momentum_breakout,breakout,uptrend,2024-03-18,146.28797912597656,138.91,163.84,156.7,170.3292236328125,61.78866980235168,1.8575032944320646,3,1.2417651902297553,3.6273088637901854,0,39,2024-04-26,163.84,take_profit,12.0,176.173583984375,7.53,1
GOOGL,momentum_breakout,breakout,uptrend,2024-04-29,164.5838623046875,156.27,184.33,162.21,176.31626892089844,65.06590506551073,1.5342574871580361,3,0.7586220499797443,10.829848005334236,0,44,2024-06-12,176.32,bearish_divergence,7.13,189.5952911376953,7.53,1
